,k,stability,silhouette
0,2,0.9280457187934043,0.17586005101153632
1,3,0.9564264742515778,0.14241506006349508
2,4,0.9317723165069086,0.13437938332335525
3,5,0.7740809901305894,0.11393132380789563
4,6,0.6520245034320598,0.10939770933559538
