sample_id,subtype_1,subtype_2,subtype_3
BA2392R,0.4763386331851161,0.23282126239207468,0.2908401044228092
BA2611R,0.47585919718266867,0.2328623235345103,0.2912784792828211
BA2506R,0.4766813157343238,0.23225474863565382,0.29106393563002236
BA2430R,0.4751652934735395,0.23361362343416897,0.2912210830922915
BA2448R,0.4760087053514357,0.23251739051743625,0.29147390413112795
BA2730R,0.4744415309141875,0.23314761899743713,0.29241085008837536
BA2845R,0.474999148315489,0.2340415398702555,0.29095931181425544
BA2326R,0.47454095720249256,0.23500607057570466,0.2904529722218027
BA2341R,0.47485788900873066,0.23465020984784463,0.2904919011434247
BA2612R,0.4741601664262439,0.23529676914702968,0.29054306442672645
BA2973R,0.4743489491717704,0.23465321211075124,0.2909978387174783
BA2390R,0.4754582737575074,0.23406051282686083,0.29048121341563177
BA3218R,0.4741949453429197,0.23534125830047128,0.290463796356609
BA3105R,0.47610607174693714,0.23239456316335266,0.29149936508971014
BA3402R,0.4757403445578912,0.2331322835271488,0.29112737191495996
BA3276R,0.4751296619826909,0.23304890691262137,0.2918214311046878
BA2409R,0.2881676398016697,0.2725254119898105,0.4393069482085198
BA3037R,0.3740742385849237,0.3493953291545758,0.27653043226050056
BA2496R,0.25560953692893673,0.29847979152543047,0.44591067154563285
BA2172R,0.30993274588707354,0.3222998453992311,0.3677674087136954
BA2865R,0.5029467866233657,0.20849269818802063,0.28856051518861375
BA2923R,0.30395026716834883,0.2642718526976948,0.4317778801339563
BA2751R,0.42924115669360413,0.2346446981747807,0.3361141451316152
BA2480R,0.3710753435811752,0.2846094013937008,0.34431525502512395
BA2286R,0.3470457139878585,0.26567041842714956,0.387283867584992
BA2922R,0.4616436180320099,0.23590408404477964,0.3024522979232104
BA2452R,0.4328544348448803,0.24392815222627698,0.3232174129288428
BA3379R,0.4302693631037959,0.23017027184317007,0.3395603650530341
BA2887R,0.4124024533228757,0.24080999722094593,0.3467875494561784
BA2712R,0.30101329209998023,0.2843147828084631,0.41467192509155654
BA2068R,0.39364359955122374,0.3274314165619253,0.27892498388685094
BA2236R,0.40578691325113125,0.2503272990106306,0.3438857877382382
BA2104R,0.24423006731710303,0.30915312112725435,0.44661681155564253
BA3124R,0.36712723771308026,0.3017461375958463,0.33112662469107335
BA3395R,0.29138116643628614,0.2917171949326407,0.4169016386310732
BA2921R,0.3173944366520402,0.3574154492247191,0.3251901141232408
BA2449R,0.4129194958076936,0.3031355254551048,0.28394497873720165
BA2003R,0.33907552461480694,0.3539267464561243,0.30699772892906874
BA2360R,0.478037049450861,0.21091454678113244,0.3110484037680066
BA2802R,0.3579523600061286,0.3157891601591363,0.32625847983473516
BA2235R,0.36600936063206074,0.24078796603588065,0.39320267333205866
BA2858R,0.22955054127628233,0.3999150728041671,0.37053438591955046
BA3038R,0.26219314319103343,0.28765442279563497,0.45015243401333166
BA3006R,0.46142704395242734,0.22207342288115084,0.3164995331664219
BA2245R,0.46915225096607865,0.22462032680051777,0.30622742223340355
BA2667R,0.3888699191608574,0.24432494565802407,0.3668051351811184
BA2239R,0.31263877919267585,0.2556803669450258,0.43168085386229826
BA2782R,0.2569555766385557,0.306587000087711,0.43645742327373327
BA2649R,0.36977378947943673,0.2716210127939674,0.3586051977265958
BA2488R,0.4090088321060331,0.23395892021403358,0.3570322476799333
BA2861R,0.38952593331865104,0.22962068556133272,0.38085338112001615
BA2909R,0.2748657725132338,0.29947065518528687,0.4256635723014793
BA2429R,0.3616874843936535,0.2802072809160384,0.358105234690308
BA2653R,0.2860058334166566,0.3434229009042789,0.37057126567906457
BA2134R,0.2409637320078954,0.32147938373087054,0.437556884261234
BA2947R,0.43013191624950253,0.2608961409921769,0.30897194275832063
BA2032R,0.3400104540355679,0.3668382212299207,0.29315132473451144
BA2162R,0.3053322916742263,0.28335120961340937,0.4113164987123642
BA2564R,0.23970100063434954,0.32728109615575657,0.4330179032098939
BA2597R,0.2770498869638455,0.4312922619069795,0.29165785112917497
BA3243R,0.33653545027254933,0.290801066866693,0.3726634828607577
BA2106R,0.454900227391512,0.26348145973233733,0.2816183128761506
BA2427R,0.21699988741064735,0.478292855751725,0.30470725683762767
BA2841R,0.365599268516977,0.33192542791128504,0.3024753035717379
BA2446R,0.2944450222143153,0.2858946125310808,0.4196603652546038
