,feature,mean,scale
75,DoRothEA::ARID3A,3.946189541567363,0.5258475863666325
76,DoRothEA::ARID3B,4.334094244578066,0.29809592748070307
77,DoRothEA::ARID5A,-4.138525113747882,0.34831102435220096
78,DoRothEA::ARID5B,4.137499066410762,0.33296863289135753
79,DoRothEA::ARNT,4.345210487909212,0.5146119428532165
80,DoRothEA::ARNT2,3.696679751390252,0.6852770954366267
81,DoRothEA::ARNTL,2.864170755642787,0.6083092549974297
82,DoRothEA::ARNTL2,4.983123686395729,0.4195953170719979
83,DoRothEA::ARX,4.527136692911026,0.32166411246890303
84,DoRothEA::ASCL1,3.8043277723258093,0.5334222378507316
85,DoRothEA::ASCL2,4.053696519378561,0.37657412768751286
86,DoRothEA::ATF1,6.515024533856722,0.7594361644774661
87,DoRothEA::ATF2,4.668801657398321,1.0454286524084169
88,DoRothEA::ATF3,-4.494521099116781,0.46794319639815035
89,DoRothEA::ATF4,5.3581440137389595,0.8540310635226983
90,DoRothEA::ATF5,5.989132016168326,0.25656183253206644
91,DoRothEA::ATF6,6.553111874386654,0.4696253483970347
92,DoRothEA::ATF6B,4.4863010273679755,0.2900433419322138
93,DoRothEA::ATF7,4.286206425737083,0.43394882442285365
94,DoRothEA::ATOH1,4.339803394938885,0.2883512063827753
95,DoRothEA::ATOH8,3.859954147067781,0.5737279434594524
96,DoRothEA::BACH1,4.346656444226365,0.5893148379060411
97,DoRothEA::BACH2,4.233487624032275,0.42693606693761416
98,DoRothEA::BARHL1,4.329057949465212,0.3111002858654786
99,DoRothEA::BARHL2,4.664793848995777,0.2916798633557657
100,DoRothEA::BARX1,4.419217108442138,0.33695849612043294
101,DoRothEA::BARX2,3.218185639515865,1.4321704142042846
102,DoRothEA::BATF,3.4361376160640145,0.5863020094937377
103,DoRothEA::BATF2,3.7341527232580964,0.5558779071865106
104,DoRothEA::BATF3,4.357109959851186,0.36723556189893525
105,DoRothEA::BBX,4.057392815979428,0.39517930969534165
106,DoRothEA::BCL11A,3.3712463199214917,0.5313336804404203
107,DoRothEA::BCL11B,3.033680924503401,0.7463067609470927
108,DoRothEA::BCL6,-4.078246374441174,0.41513351407683025
109,DoRothEA::BCL6B,4.099200718267805,0.36219155837113975
110,DoRothEA::BHLHA15,4.482231329437052,0.27449210940777724
111,DoRothEA::BHLHE22,-3.7172575608885716,0.5775674613333127
112,DoRothEA::BHLHE23,4.181801388993734,0.315824538344919
113,DoRothEA::BHLHE40,-4.456353042198234,0.38287849861728496
114,DoRothEA::BHLHE41,-4.391748798687015,0.3032044720621775
115,DoRothEA::BNC1,3.6236873095397963,0.8892069875598172
116,DoRothEA::BNC2,3.5447386326463852,0.9594013680349606
117,DoRothEA::BPTF,4.381472031403337,1.417011669879253
118,DoRothEA::BRF2,4.8523206267072805,0.2718576392613814
119,DoRothEA::BSX,4.339652709628176,0.29985803086988005
120,DoRothEA::CASZ1,4.153445658319739,0.4454938822266206
121,DoRothEA::CBX2,3.7335751162691473,0.474475606925917
122,DoRothEA::CDC5L,4.946548388662356,0.29470795264257826
123,DoRothEA::CDX1,5.303473994111875,0.6555069071038742
124,DoRothEA::CDX2,2.0405888125613343,3.184254387240738
125,DoRothEA::CEBPA,4.768797207888821,0.39573694029688467
126,DoRothEA::CEBPB,4.273512430487406,0.6165330896256149
127,DoRothEA::CEBPD,6.746764802093557,0.5889787675500775
128,DoRothEA::CEBPE,1.8105436702649655,0.9499664901928779
129,DoRothEA::CEBPG,4.347813869807001,0.50106831647722
130,DoRothEA::CEBPZ,4.779706015807191,0.28719786379754625
131,DoRothEA::CENPB,4.427354691751038,0.2938814238472615
132,DoRothEA::CIC,4.660744466953084,0.3571127936063387
133,DoRothEA::CLOCK,3.674133791298659,0.5830172429117749
134,DoRothEA::CREB1,3.9077642189700046,0.4093508469350496
135,DoRothEA::CREB3,5.372942660872003,0.46895647047426886
136,DoRothEA::CREB3L1,5.132416857485553,0.6217998282810462
137,DoRothEA::CREB3L2,4.599201461127468,0.4136188212226365
138,DoRothEA::CREB3L3,4.060502126267583,1.669454884393349
139,DoRothEA::CREB3L4,4.32867544060118,0.29675750375317245
140,DoRothEA::CREB5,-0.30141735595121266,0.6499571994313892
141,DoRothEA::CREBL2,4.511356806489065,0.31681402516584906
142,DoRothEA::CREBZF,4.311391694595145,0.41098331775315694
143,DoRothEA::CREM,3.4340352352913692,0.3690795591824171
144,DoRothEA::CRX,4.346216011308602,0.27799520426146707
145,DoRothEA::CSRNP1,3.901939420845211,0.5247138670924961
146,DoRothEA::CSRNP2,4.126750459223472,0.38636269758116587
147,DoRothEA::CSRNP3,2.9969237356469125,0.4509054788280493
148,DoRothEA::CTCF,2.75709169840821,0.2682088065149563
149,DoRothEA::CTCFL,4.624257769054629,0.40672439872840815
150,DoRothEA::CUX1,4.442936866208702,0.4032924529151198
151,DoRothEA::CUX2,4.143967557582405,0.30884883320086204
152,DoRothEA::CXXC1,4.574185641767617,0.3136619694427389
153,DoRothEA::CXXC4,4.767639241868878,0.3248679548533463
154,DoRothEA::DBP,4.314724566568531,0.2926918855792455
155,DoRothEA::DDIT3,2.171118743866536,0.3117424450633501
156,DoRothEA::DEAF1,4.773173075207422,0.32199063738567923
157,DoRothEA::DLX1,4.2307460510193335,0.3254995283234397
158,DoRothEA::DLX2,4.494180939507841,0.3117673233858423
159,DoRothEA::DLX3,4.269713611801831,0.3106044112540587
160,DoRothEA::DLX4,-4.276640576617091,0.3100798695653542
161,DoRothEA::DLX5,3.0101733725875044,0.9088348022827211
162,DoRothEA::DLX6,4.275349701819279,0.3099239780395199
163,DoRothEA::DMBX1,-4.399875983261045,0.2982321914194425
164,DoRothEA::DMRT1,0.0,1.0
165,DoRothEA::DMRT2,0.0,1.0
166,DoRothEA::DMRT3,4.079847512644371,0.3323156775268671
167,DoRothEA::DMRTA1,3.7239945620368955,0.3743120389150741
168,DoRothEA::DMRTB1,0.0,1.0
169,DoRothEA::DMRTC2,0.0,1.0
170,DoRothEA::DMTF1,3.9428213320786982,0.41968609842008037
171,DoRothEA::DNMT1,2.841207850834151,0.3962115404506215
172,DoRothEA::DR1,-0.23461727183513253,0.3144762936844603
173,DoRothEA::DUX4,3.8706373350779635,0.4919804923528408
174,DoRothEA::DUXA,4.486537646420145,0.29728509497899774
175,DoRothEA::E2F1,4.186133035433558,0.31239525057779766
176,DoRothEA::E2F2,4.970589567449234,0.7112126415548552
177,DoRothEA::E2F3,5.087003300918904,0.590814153038685
