,feature,mean,scale
75,DoRothEA::ARID3A,6.309871354482387,0.33702766239497783
76,DoRothEA::ARID3B,5.30309767851261,0.0778860609497462
77,DoRothEA::ARID5A,-5.228282679696541,0.12279364802165091
78,DoRothEA::ARID5B,5.338356510745891,0.12852405747514137
79,DoRothEA::ARNT,5.4089442570630695,0.22921192266363202
80,DoRothEA::ARNT2,4.53521288942081,0.16646722752819768
81,DoRothEA::ARNTL,4.445814867201006,0.5980992653630279
82,DoRothEA::ARNTL2,5.659324768509239,0.17446157574711849
83,DoRothEA::ARX,5.2123103749851545,0.09250420577433113
84,DoRothEA::ASCL1,4.976386781535296,0.2108972063425766
85,DoRothEA::ASCL2,5.23760796487812,0.14028047699360446
86,DoRothEA::ATF1,6.628562942008487,0.6130145466789519
87,DoRothEA::ATF2,7.291621876473361,0.7525185257030151
88,DoRothEA::ATF3,-5.611010608203678,0.24254139775674782
89,DoRothEA::ATF4,6.325899929278642,0.844161193676163
90,DoRothEA::ATF5,5.872867924155052,0.20155801514006033
91,DoRothEA::ATF6,7.853547383309761,0.314142665188057
92,DoRothEA::ATF6B,5.117558044334369,0.1554007859921333
93,DoRothEA::ATF7,5.4360765020601445,0.21109005340683967
94,DoRothEA::ATOH1,5.173310854305245,0.042341525787122025
95,DoRothEA::ATOH8,4.8854734672974685,0.21927296395068838
96,DoRothEA::BACH1,5.181517562470532,0.21003290043156433
97,DoRothEA::BACH2,5.949642857142857,0.20669786849600882
98,DoRothEA::BARHL1,5.017750132156073,0.07256823421865156
99,DoRothEA::BARHL2,5.194132751348826,0.0572766698825246
100,DoRothEA::BARX1,5.188054552373294,0.06312278045471967
101,DoRothEA::BARX2,4.182785007072136,0.30928921085283984
102,DoRothEA::BATF,5.357007942552498,0.3051592754650366
103,DoRothEA::BATF2,5.181899222065064,0.32397091579648785
104,DoRothEA::BATF3,5.415697800595527,0.09219686644396176
105,DoRothEA::BBX,5.315750389024594,0.07435307359524963
106,DoRothEA::BCL11A,5.810251229204554,0.24772805640790976
107,DoRothEA::BCL11B,5.1861986050821836,0.26762704182671243
108,DoRothEA::BCL6,-5.863124312431243,0.22967676827444122
109,DoRothEA::BCL6B,4.935806624735422,0.08900447438158093
110,DoRothEA::BHLHA15,5.208334440442309,0.06413866032828672
111,DoRothEA::BHLHE22,-5.596533367622476,0.37430909597111145
112,DoRothEA::BHLHE23,5.201896964421717,0.07728966995726982
113,DoRothEA::BHLHE40,-5.826003359264498,0.3660873882596531
